file_name;cond_num;cond;avr_loudness;bark0_mean;bark1_mean;bark10_mean;bark11_mean;bark12_mean;bark13_mean;bark14_mean;bark15_mean;bark16_mean;bark17_mean;bark18_mean;bark19_mean;bark2_mean;bark20_mean;bark21_mean;bark22_mean;bark23_mean;bark24_mean;bark25_mean;bark26_mean;bark3_mean;bark4_mean;bark5_mean;bark6_mean;bark7_mean;bark8_mean;bark9_mean;barkcrest_mean;barkflat_mean;disson_mean;dyn_compl;mfcc0_mean;mfcc1_mean;mfcc10_mean;mfcc11_mean;mfcc12_mean;mfcc2_mean;mfcc3_mean;mfcc4_mean;mfcc5_mean;mfcc6_mean;mfcc7_mean;mfcc8_mean;mfcc9_mean;pitchsal_mean;sil60db_mean;centroid_mean;speccomp_mean;energy_mean;enehigh_mean;enelow_mean;enemidhi_mean;enemidlo_mean;flux_mean;kurt_mean;rolloff_mean;skew_mean;zerocross_mean;beats_count;beatloud_mean;bpm;peak1_bpm;peak1_weight;peak2_bpm;peak2_weight;danceabil;onset;chord_change;chord_number;chorstren_mean;hpcp0_mean;hpcp1_mean;hpcp10_mean;hpcp11_mean;hpcp12_mean;hpcp13_mean;hpcp14_mean;hpcp15_mean;hpcp16_mean;hpcp17_mean;hpcp18_mean;hpcp19_mean;hpcp2_mean;hpcp20_mean;hpcp21_mean;hpcp22_mean;hpcp23_mean;hpcp24_mean;hpcp25_mean;hpcp26_mean;hpcp27_mean;hpcp28_mean;hpcp29_mean;hpcp3_mean;hpcp30_mean;hpcp31_mean;hpcp32_mean;hpcp33_mean;hpcp34_mean;hpcp35_mean;hpcp4_mean;hpcp5_mean;hpcp6_mean;hpcp7_mean;hpcp8_mean;hpcp9_mean;edmastr_key;thpcp0;meanF0;nPulses;meanPeriod;pctUnvoi;nvoicebreaks;pctVoicebreaks;jitter_loc;jitter_rap;shimmer_loc;autocor;HNR;H1;H2;H3;BDH1;lowBand;hiBand;Hmmberg;Aleg_Cond;Trist_Cond;Sorp_Cond;Irrit_Cond;Desp_Cond;Amor_Cond;Posit_Cond;Negat_Cond;Anim_Cond;Relax_Cond;Alegria;Tristesa;Sorpresa;Irritacio;Despreci;Amor;Emocposit;Emocnegat;Animacio;Relaxacio
Veu_1.csv;0;Veu;0.88250834;0.00053869;0.00051878;0.02325021;0.14206583;0.0411684;0.04709827;0.14144797;0.14986713;0.08452551;0.45939031;0.17992506;0.17800295;0.0018251;0.09244329;0.20835843;0.22675274;0.12139775;0.09077478;0.06620298;0.0249518;0.00241908;0.08804377;0.08871046;0.07046859;0.33920277;0.05822486;0.35525994;0.44650732;0.35486368;0.77332997;0.24526366;0.42566612;0.15988121;0.30534273;0.23425459;0.22636421;0.44881388;0.60773832;0.50329421;0.55994628;0.36072957;0.52043169;0.44522686;0.24073078;0.61710526;0.62764737;0.24430955;0.08205477;0.02556769;0.17498191;0.00093418;0.22435456;0.16082699;0.39700724;0.02844652;0.26827614;0.12125165;0.32095555;0.02777778;0.05383705;0.45598931;0.45045045;0.73529411;0.60540541;0.50526317;0.2221987;0.78152721;1;1;0.78702414;0.09672294;0.1263359;0.38396406;0.38344512;0.24334188;0.28199298;0.22104049;0.20601454;0.27671278;0.27930143;0.20545355;0.2542919;0.31844624;0.14879552;0.12118443;0.22988983;0.38368837;0.23074781;0.36546618;0.36689166;0.30120268;0.39621316;0.38498263;0.27017601;0.23815731;0.27786904;0.30378485;0.22168958;0.25446902;0.14611813;0.35587892;0.34810563;0.23801854;0.3668258;0.47746672;0.38818133;0.77595943;0;0.46577399;0.14447453;0.17272467;0.38451114;0.20289855;0.33480392;0.09900511;0.070875;0.19083386;0.77571766;0.40321781;0.32196641;0.78172408;0.72226577;0.49006099;0.24290965;0.69821324;0.23132779;0.0625;0.35714286;0.30000003;0.65789474;0.859375;0.0625;0.375;0.21428571;0.3125;0.69230769;0;0.61111124;0.32640921;0.61698707;0.74612403;0.04651158;0.28947374;0.28571404;0;0.89736879
Veu_2.csv;0;Veu;0.74192989;0.00035652;0.00026094;0.04023497;0.03322325;0.0442496;0.03683815;0.09544497;0.05889163;0.04529818;0.10177796;0.02989642;0.24817947;0.00325389;0.09740649;0.12666872;0.63052458;0.3162555;0.08720602;0.04282161;0.00081818;0.01961595;0.21765797;0.09993859;0.62070897;0.43435633;0.03497725;0.08925065;0.69906443;0.5608392;0.45834215;0.17962565;0.47942722;0.39444912;0.1032071;0.47585255;0.11529099;0.59992534;0.52782048;0.58173789;0.49004807;0.42980508;0.2179303;0.67688361;0.17361878;0.58293777;0.42892869;0.1171076;0.08861471;0.06426994;0.2832695;0.00141887;0.08699034;0.37750616;0.16430217;0.06386644;0.09696486;0.22352024;0.12760981;0.19444444;0.0418641;0.21607114;0.36936937;0.66844917;0.55675676;0.38709677;0.12070188;0.34139103;0.64391951;0.75767924;0.85253131;0.39641814;0.33178751;0.1033057;0.09651294;0.05076357;0.086517;0.09797874;0.0623615;0.07789644;0.07807356;0.08312293;0.21798458;0.50069712;0.15421653;0.07916479;0.14016512;0.25262277;0.10215185;0.13164537;0.15650219;0.14965948;0.22628066;0.30340236;0.33891885;0.2260882;0.26118489;0.25389175;0.1636115;0.31291819;0.42037759;0.28092603;0.14530467;0.07874872;0.15024533;0.22711794;0.15057157;0.20147832;0;0.34504606;0.2601526;0.25263485;0.18471442;0.11594203;0.21595342;0.03205748;0.019625;0.0482283;0.92786522;0.67040299;0.20320843;0.63930396;0.77658218;0.35174763;0.38303965;0.57677468;0.39430839;0.25;0.85714286;0;0;0;0.75;0;0.28571429;0.25;0.92307692;0.62975754;0.63768103;0.09792306;0;0;0.81395326;0.48245595;0.83333326;0.63812167;0.0289476
Veu_3.csv;0;Veu;0.95782047;0.00026543;0.0000185;0.08878084;0.4022234;0.38952215;0.30518847;0.27405094;0.17037666;0.10907365;0.26631991;0.2295611;0.24530979;0.00001784;0.06005545;0.03753824;0.20168998;0.49725731;0.36527128;0.22265187;0.02700481;0.00008473;0.12731312;0.37624593;0.1084345;0.08775492;0.22269382;0.71241562;0.56597675;0.62976064;0.50750827;0.17481241;0.42895351;0.28570376;0.1297804;0.28511196;0.44329234;0.22371853;0.27553214;0.37446099;0.36732526;0.95102855;0.22575494;0.33265918;0.41705837;0.58194715;0.27939137;0.33044922;0.0940685;0.11636652;0.24945239;0.00004854;0.51213078;0.28995101;0.39814477;0.10331245;0.30274649;0.23014058;0.33505698;0.65277778;0.06212202;0.5930658;0.59459459;0.79656856;0.87027027;0.26250001;0.05899572;0.39770521;0.50467249;0.47661113;0.82174752;0.16108901;0.08115128;0.10347234;0.18786052;0.22681021;0.48291404;0.56815416;0.30810947;0.23847187;0.21389881;0.15921684;0.26688908;0.08165654;0.21990503;0.14901185;0.2155646;0.23751887;0.06308157;0.11656445;0.1288835;0.09355502;0.15769292;0.30130825;0.04420232;0.20956529;0.1603023;0.18050901;0.13554035;0.20864248;0.22589956;0.06939993;0.06787734;0.05161124;0.11429293;0.16642026;0.12569045;0.72129231;0;0.71411057;0.62318484;0.06681761;0.22345844;0.15217391;0.18976074;0.02570126;0.026625;0.09136431;0.92854779;0.66880171;0.29553473;0.48350465;0.32020624;0.22608741;0.4125797;0.59998125;0.39053645;0.41666675;0.38095229;0.60000006;0.35087711;0.20833344;0.33333325;0.33333325;0.42857143;0.66666675;0.20512831;0.79930774;0.31884075;0.45697348;0.17628188;0.08527125;0.58139537;0.50657894;0.71428553;0.85082889;0.0578952
Veu_4.csv;0;Veu;0.56669736;0.00004527;0.00003229;0.01705642;0.33764938;0.03381589;0.11813422;0.03734327;0.04333348;0.02721515;0.09488411;0.01937871;0.013829;0.00001101;0.00519985;0.01585786;0.00914968;0.00977153;0.01678265;0.01032838;0.00434611;0.00497077;0.18679324;0.10052826;0.36511424;0.54367733;0.10806105;0.36112918;0.61426455;0.63609892;0.43078503;0.42926234;0.24719345;0.34554683;0.49132538;0.18548812;0.34395439;0.41365632;0.42284331;0.50857229;0.54191728;0.3163761;0.44031128;0.54531566;0.10304975;0.50814214;0.56565857;0.13330437;0.04230053;0.06599026;0.01111448;0.00006476;0.20896192;0.34880021;0.0154732;0.18461539;0.12448654;0.38271137;0.1521502;0.55555556;0.03089002;0.86841242;0.84684685;0.14705877;0.59459459;0.33684212;0.037858;0.17026962;0.55547147;0.64645257;0.83779895;0.2024935;0.16880705;0.18380242;0.48424244;0.37360202;0.34401654;0.20672414;0.11364799;0.12862451;0.15887;0.16965534;0.24261054;0.14955224;0.13784907;0.07924877;0.06926379;0.21552706;0.16192994;0.15206317;0.20392579;0.32158418;0.31920863;0.16792469;0.1088361;0.10131552;0.15050369;0.28526219;0.28025285;0.30509193;0.18063664;0.23323157;0.32090754;0.27629294;0.30632124;0.20486079;0.13872934;0.65968919;0;0.47227275;0.34555747;0.16620088;0.41006361;0.12318841;0.36290798;0.00870526;0.00975;0.01727138;0.99458287;0.9717107;0.22015204;0.53469803;0.40137413;0.39998519;0.31651148;0.42305304;0.48206484;0.1785715;0.61224486;0.25714293;0.22556395;0.17857156;0.5714285;0.25;0.40816314;0.3214285;0.43956031;0.26643591;0.90338173;0;0.08814078;0.10658887;0.86046484;0.16885965;0.83333326;0.45580143;0.52105261
Veu_5.csv;0;Veu;0.19982437;0.0000008;0.00000031;0.01732842;0.14803636;0.11853101;0.85964667;0.07081044;0.01824858;0.01040475;0.10391953;0.06337437;0.05321138;0.00000078;0.00047487;0.0024812;0.01273607;0.00503108;0.00445856;0.00331397;0.0010667;0.00095099;0.03801278;0.10036749;0.075577;0.08791615;0.38916127;0.36877218;0.5383169;0.69360412;0.27275841;0.27054905;0.30632106;0.33158954;0.31497125;0.18867077;0.18213164;0.23581514;0.24091372;0.20313013;0.39767064;0.29442373;0.25825661;0.12867957;0.20094417;0.67878107;0.59983414;0.11568384;0.06076853;0.04252787;0.00675273;0.00000469;0.28664286;0.22337655;0.0349443;0.13458319;0.11453852;0.34449064;0.13710849;0.48611111;0.02888977;0.55936943;0.55855856;0.73529411;0.4972973;0.36923079;0.00441901;0.29128431;0.53227849;0.62394867;0.85426265;0.19010022;0.13880664;0.09098374;0.13226043;0.10167582;0.22955608;0.28984829;0.18159705;0.18725862;0.17229406;0.12750603;0.24616898;0.22912207;0.30912385;0.21319762;0.13032159;0.12633533;0.09052593;0.17087336;0.39158664;0.46210709;0.40287558;0.58705473;0.20510973;0.44706191;0.30980049;0.20736833;0.13488211;0.19981464;0.22191915;0.3957527;0.52420999;0.28934388;0.20605279;0.15786866;0.09774205;0.50834607;0;0.54904789;0.56288457;0.12743622;0.19439769;0.13043478;0.22581039;0.00573442;0.00425;0;0.99456918;0.92420603;0.12570559;0.28548777;0.3801143;0.27185406;0.39694476;0.50047017;0.46067825;0.25;0.85714286;0.30000003;0.19736842;0.15625;0.5625;0.3125;0.5;0.3125;0.76923077;0.43598612;0.87681147;0.1632049;0.19391023;0.10658887;0.7441861;0.48245595;0.66666652;0.42541445;0.55000021
Veu_6.csv;0;Veu;0.63866085;0;0.00000292;0.71251369;0.16342755;0.21298651;0.16218464;0.09120103;0.04052177;0.0237469;0.06883382;0.02095981;0.00967398;0.00000418;0.00312624;0.00766749;0.02771144;0.02743533;0.01004961;0.0060991;0.00262266;0.00029385;0.02318704;0.05899097;0.20172518;0.22718345;0.08096142;0.85190493;0.79252668;0.99890869;0;0.17233815;0.29416741;0.29444226;0.45027092;0.3703481;0.57969402;0.15368068;0.1135861;0;0.41611876;0.36620552;0.63149196;0.20928964;0.17691564;0.42298575;0.39733993;0.11257215;0.03805851;0.09184388;0.01483792;0.00000441;0.64523296;0.12542414;0.32779478;0.30871353;0.09501737;0.51539303;0.12070485;0.70833333;0.06276446;0.6177031;0.62162162;0.75757573;0.6972973;0.28235295;0.14167419;0.7271393;0.69914993;0.53763249;0.77820546;0.27364927;0.25283774;0.22152556;0.12567305;0.05224649;0.10439469;0.15166343;0.13925681;0.21134967;0.27368676;0.21616716;0.25311855;0.41186305;0.14276423;0.07630752;0.0973745;0.20580723;0.11159768;0.12298293;0.16387481;0.16572325;0.18188576;0.24278215;0.29930851;0.18163926;0.18118021;0.19504469;0.16188149;0.28328272;0.30416215;0.35425592;0.30948557;0.23470537;0.27139411;0.30087893;0.28643087;0.23268819;0;0.80363482;0.80589056;0.04190615;0.15730398;0.23913043;0.22102081;0.03537377;0.025;0.02376406;0.96150255;0.89313355;0.12300641;0.20058987;0.22682241;0.13960613;0.49814295;0.42467761;0.5690763;0.5;0.85714286;0.60000006;0.78947368;0.9375;0.5;0.25;0;0.5;0.92307692;0.79930774;0.45169063;0.45697348;0.12339748;0.1705425;0.60465095;0.72368414;0.66666652;0.69889508;0.3184215
Veu_7.csv;0;Veu;0.62262173;0.00062397;0.00005029;0.11030921;0.08866361;0.26193487;0.35977763;0.18567133;0.02894412;0.03873151;0.13359028;0.17483325;0.07317355;0.00001191;0.0398734;0.03229527;0.0469555;0.02277954;0.10600145;0.08339517;0.01976526;0.00008587;0.01157326;0.15991317;0.01158217;0.08864529;0.18195067;0.08843002;0.68061241;0.55938841;0.79265747;0.60043266;0.11989814;0.20996106;0.57984555;0.42752808;0.46845485;0.40292545;0.53927009;0.56202778;0.67949276;0.86790295;0.46315728;0.88271172;0.39198726;0.29275532;0.87689464;0.34924608;0.02444185;0.00929528;0.06014107;0.00010583;0.24018757;0.09910396;0.19026849;0.05297335;0.26819249;0.14226151;0.28450989;1;0.02002718;0.94654532;0.94594595;0;0.96216216;0.53932587;0.22571721;0.25114181;0.57743501;0.4185742;0.69969517;0.10535496;0.09968583;0.11695;0.15789648;0.09929865;0.18161178;0.18690848;0.11610714;0.15843413;0.22435509;0.2682636;0.45619239;0.16842879;0.2223833;0.11044053;0.11766339;0.4568726;0.83817233;1;0.22438024;0.15545491;0.18044319;0.23917351;0.1456298;0.16003447;0.15458728;0.18842428;0.14386707;0.14802062;0.09385693;0.21953856;0.22549523;0.13808335;0.14095981;0.12064473;0.09230323;0.37562393;0;0.61802078;0.23832964;0.1004536;0.71627795;0.29710145;0.70994699;0.07123117;0.0575;0.13208148;0.84251521;0.56029586;0.43440061;1;0.62729996;0.35733206;0.02539828;0.4843299;0.2927001;0.04166675;0.23809514;0.69999997;0.57017553;0.46875;0;0.29166675;0;0.08333325;0.82051292;0.33910041;0.07971031;0.84866453;0.54647431;0.36240301;0;0.69956114;0;0.2430942;0.60789488
Veu_8.csv;0;Veu;0.6819247;0.0001038;0.00000482;0.0624091;0.03751238;0.07864337;0.06317098;0.0680105;0.07994641;0.04678068;0.13623585;0.08688318;0.04706917;0.00027089;0.01676297;0.06077735;0.12358184;0.07032509;0.05651476;0.0600138;0.0073932;0.0125186;0.16104723;0.3698815;0.27288832;0.34299233;0.33296872;0.24356363;0.44787508;0.44901284;0.52463799;0.15640319;0.2249986;0.23548804;0.37297465;0.11676192;0.35985538;0.39703855;0.41493623;0.44035902;0.48378694;0.39298141;0.530361;0.39364043;0.23323585;0.77405102;0.63799795;0.56035452;0.04623065;0.07570945;0.06483393;0.00037839;0.13703101;0.4301999;0.24012795;0.09270064;0.55631579;0.19089017;0.57607118;0.375;0.04024175;0.52268233;0.53153153;0.73529411;0.55675676;0.27272729;0.09574761;0.37387163;0.5529638;0.66670867;0.40543188;0.13087146;0.09495702;0.05345111;0.09214416;0.08233965;0.14946568;0.21101541;0.17286318;0.19414192;0.21359337;0.16630698;0.22094831;0.14808267;0.15795835;0.14907717;0.21664874;0.29504812;0.14074463;0.16722505;0.17140233;0.14635408;0.15876122;0.2132646;0.11897886;0.1824908;0.20533621;0.20300259;0.12349121;0.15345956;0.1541787;0.21870607;0.21720906;0.10283463;0.09925049;0.09712099;0.0540177;0.28980454;0;0.47285505;0.24989745;0.16721302;0.49959562;0.12318841;0.14962161;0.06093685;0.040875;0.06293231;0.9296755;0.74444317;0.57378351;0.39093687;0.21668402;0.17364304;0.22700139;0.45219866;0.41578969;0.35714275;0.36734686;0.34285713;0.11278184;0.04464281;0.28571425;0.5;0.32653057;0.46428575;0.21978031;0.50865018;0.31884075;0.55489595;0.21153826;0.14922488;0.39534863;0.74780713;0.35714277;0.45580143;0.2605263
Veu_9.csv;0;Veu;0.83792737;0.00000239;0.0000041;0.01336704;0.01433788;0.13998554;0.04778617;0.07330805;0.43460614;0.2757507;0.21767409;0.24299077;0.5382533;0.00001091;0.00120301;0.00497515;0.02176328;0.0287051;0.01480794;0.00324864;0.00071553;0.000369;0.03763238;0.42435866;0;0.07502291;0.06558308;0.15102192;0.49982163;0.60519004;0.75590829;0.40649646;0.28437648;0.13612246;0.04701723;0.2607352;0.51451015;0.19934601;0.48744365;0.56350301;0.24119687;0.3254352;0.1952459;0.20930163;0.26412223;0.56862825;0.50235309;0.4433457;0.07404613;0.01892459;0.05255614;0.00001632;0.22450213;0.14729317;0.10147958;0.06916702;0.4292341;0.12134857;0.43565721;0.55555556;0.01628047;0.38900965;0.38738739;0.93137253;0.62162162;0.33684212;0.01913923;0.24598507;0.66895708;0.45464345;0.75453884;0.07683242;0.06899667;0.06475154;0.08630144;0.07654212;0.36366231;0.546296;0.29072606;0.254118;0.17375746;0.09007415;0.36228822;0.09571105;0.72353573;0.48443519;0.19855968;0.13484743;0.09964992;0.11072516;0.13374316;0.125303;0.11106776;0.09771395;0.05935278;0.06788167;0.07749933;0.06554624;0.04045491;0.08515456;0.08544515;0.12766593;0.12334276;0.07018706;0.10106075;0.12624057;0.08610547;0.45076562;0;0.59547678;0.55254738;0.10846588;0.30211589;0.0942029;0.32375788;0.01920685;0.013875;0.00553787;0.97001975;0.89187541;0.56178238;0.89325802;0.22363025;0.07220852;0.41251403;0.91853433;0.14164128;0.0625;0.64285714;0.15000002;0.59210526;0.546875;0.75;0.0625;0.35714286;0.125;1;0.16955021;0.82367143;0.26112737;0.37019211;0.29844938;0.58139537;0.19298264;0.66666652;0.15193381;0.69473716
Veu_10.csv;0;Veu;0.22595925;0.00068986;0.00014613;0.05554632;0.23058313;0.03797175;0.06515475;0.14872008;0.06672474;0.04096464;0.2090424;0.1995265;0.19747375;0.00005234;0.02056195;0.00320388;0.02788639;0.08739634;0.16286357;0.09474201;0.02403335;0.00002583;0.00616346;0.11631094;0.09609501;0.08595435;0.21475939;0.70143995;0.61705387;0.61149955;0.53761042;0.19486136;0.34775975;0.14879986;0.27504271;0.50541669;0.50822007;0.23983057;0.39726036;0.43363054;0.21736965;0.6829161;0.34081399;0.54294081;0.57972001;0.48234666;0.55269363;0.23233895;0.05269045;0.02922673;0.08538256;0.00020877;0.25736516;0.18461485;0.24701226;0.06963535;0.21242803;0.1948745;0.24915373;0.65277778;0.01817691;0.52775554;0.53153153;0.87535012;0.71891892;0.33750001;0.06419018;0.70632598;0.69086879;0.42331207;0.74358271;0.10140658;0.06157455;0.13657362;0.17211279;0.08759624;0.14985273;0.24899098;0.1961296;0.23481243;0.28408426;0.3113247;0.4911249;0.14111887;0.19469507;0.07971192;0.1002977;0.4564452;0.37119401;0.3668952;0.31254501;0.2468986;0.28767117;0.42255093;0.1680484;0.37805724;0.44052722;0.4381507;0.26199002;0.2561641;0.15121374;0.25062413;0.18895186;0.0990829;0.11418336;0.13183461;0.11573017;0.23143583;0;0.79085365;0.68783329;0.04539639;0.27571094;0.28985507;0.26384922;0.02666851;0.019625;0.03433058;0.9425894;0.71359945;0.1903877;0.60834195;0.38227167;0.37264388;0.37130125;0.62256966;0.35282662;0.25;0.85714286;0.30000003;0.78947368;0.9375;1;0;0;0.25;0.92307692;0.75086489;0.31884075;0.39169164;0.31730771;0.21317813;0.51162779;0.77192969;0.23809503;0.72928206;0.2894739
