"","Alegria","Tristesa","Sorpresa","Irritacio","Despreci","Amor","Emocposit","Emocnegat","Animacio","Relaxacio"
"disson_mean",0.138728691877575,-0.321812687599105,0.1646799473371,0.132638596748867,0.0846973852274992,-0.37266533968059,0.391609642870217,-0.227534376936502,0.173018803580571,-0.263258304677783
"mfcc0_mean",0.297085165020348,-0.219565258890278,0.0793028261492175,-0.116677036423508,-0.117571912791498,-0.131053223179997,0.425334242810068,-0.00305190143042503,0.271566541193558,-0.233769269422578
"mfcc1_mean",0.209413001448313,-0.0202264394052955,-0.154336248828766,-0.470498174663362,-0.412085311326378,0.0196698625329643,0.247785825216259,0.385777783228563,0.236972862030272,-0.243908420929733
"mfcc2_mean",0.149535160676595,-0.0375920854124494,-0.192122834016679,-0.393918261712266,-0.316899450669742,0.0343169957425869,0.17663990965123,0.28043143028246,0.120768023574639,-0.191393209536214
"mfcc3_mean",0.159448019191233,-0.200669500825194,-0.00892960094556424,-0.23362521912886,-0.218534524227687,-0.233348153870966,0.385429314064497,0.0275357736833963,0.217115421578191,-0.190911124606081
"mfcc4_mean",0.13017525771635,-0.0175304685318288,-0.196741398903522,-0.302858474950816,-0.280698173515769,0.0058980193275068,0.231897255763808,0.182090737863647,0.152510038698924,-0.204878824276811
"mfcc5_mean",0.183324420705124,-0.161826835045374,-0.00997538551149837,-0.216892617002411,-0.165201957184432,-0.294846746227126,0.35021239709805,0.127544064488231,0.258604431578991,-0.245938205982863
"mfcc6_mean",0.0438740661701902,-0.094584653748565,0.0690516851108735,-0.070527568644161,-0.0529299533210944,-0.0631832096002218,0.15181537738543,-0.0597962338150425,0.102621724950316,-0.0883457124127108
"mfcc7_mean",0.107144301303961,-0.143078287313498,0.202807959667001,0.124917676919121,0.161270545991612,-0.34097139826436,0.314351978310252,-0.115037995167041,0.136266658625363,-0.0814420424866267
"mfcc8_mean",0.0571149023996797,-0.13418725141868,-0.0235644431723218,-0.00652629975099893,-0.0234560859811393,-0.259290506976282,0.193614631613033,-0.0197434991459982,0.0603087886414679,-0.06566973874685
"mfcc9_mean",-0.103656172917517,-0.0360546232923326,0.109612151908204,0.150053234594836,0.193705288981177,-0.113356244836345,0.0510559264353617,-0.10427281828996,-0.0503622272418689,0.157644303520415
"mfcc10_mean",-0.0169605088398654,-0.0109651812453924,0.0934980798683166,0.0334472752356643,0.0670121387932012,-0.159425283143987,0.0619758001942079,0.0899444880460146,0.0498341926081531,0.0594885860493306
"mfcc11_mean",-0.0889918940979759,-0.00910702192415537,0.0918964366022026,0.130736277019379,0.159435649219779,-0.0158765338865856,-0.0785627602723861,-0.0555584797645972,-0.0247743487900061,0.16014994871217
"mfcc12_mean",-0.031105503186277,-0.0618839969338572,0.137358821878735,0.0154694555980745,0.0168314198069921,-0.0247532909298266,0.0140929423947062,0.0609053533083933,0.0595119488004764,0.0994039919135948
